561	932	288
561	933	304
562	933	328
563	933	359
564	933	396
565	933	438
566	934	483
568	934	531
570	935	581
573	935	632
575	936	685
578	937	738
582	937	792
586	938	847
590	939	903
594	940	959
594	995	300
594	995	309
595	995	323
595	995	345
596	995	375
597	995	410
598	995	450
599	996	494
601	996	541
603	997	589
605	997	640
608	998	692
611	998	745
614	999	798
617	1000	853
621	1001	908
625	1002	963
278	43	16
278	44	65
279	46	118
280	49	174
282	53	231
284	58	289
287	63	347
291	70	405
295	77	463
299	85	521
305	94	579
311	102	637
317	112	696
324	121	754
332	131	812
340	141	870
349	151	929
281	88	20
281	89	68
282	90	120
283	92	175
285	94	232
287	97	289
290	101	347
294	106	405
298	111	463
302	117	521
307	123	579
313	130	638
320	137	696
327	145	754
334	153	812
342	162	871
351	171	929
286	139	29
287	140	74
287	140	123
289	141	178
290	143	234
293	145	291
295	148	348
299	151	406
303	155	464
307	159	522
312	164	580
318	169	638
324	175	696
331	181	755
339	188	813
347	194	871
355	202	929
295	196	42
295	196	82
296	197	129
297	198	182
299	199	237
301	200	293
303	202	350
307	204	408
311	207	465
315	210	523
320	214	581
326	218	639
332	222	697
338	227	755
346	232	813
353	238	872
362	243	930
307	255	59
307	255	93
308	256	137
309	256	187
310	257	241
312	258	296
315	260	353
318	261	410
322	264	467
326	266	525
331	269	582
336	272	640
342	275	698
348	279	756
355	283	814
363	287	872
371	292	931
321	315	77
322	316	107
322	316	146
323	316	194
325	317	246
327	318	301
329	319	356
332	320	413
336	322	469
340	324	527
344	326	584
349	329	642
355	331	700
361	334	758
368	338	815
375	341	874
383	345	932
339	376	97
340	377	122
340	377	158
341	377	203
342	378	253
344	378	306
347	379	360
349	380	416
353	382	473
356	383	529
361	385	587
366	387	644
371	389	702
377	392	759
383	395	817
390	398	875
397	401	933
360	438	116
360	438	138
361	438	170
361	438	213
363	439	261
364	439	312
367	440	366
369	441	421
372	442	476
376	444	533
380	445	589
384	447	646
389	449	704
395	451	761
401	453	819
407	455	877
414	458	934
382	499	136
383	499	155
383	500	185
384	500	224
385	500	270
387	501	320
389	501	372
391	502	426
394	503	481
397	504	536
401	505	593
405	507	649
410	509	706
415	510	764
421	512	821
427	514	879
434	517	936
407	561	156
407	561	173
408	561	200
408	561	236
410	562	280
411	562	328
413	563	379
415	564	432
418	564	486
421	565	541
424	566	597
428	568	653
433	569	710
438	571	767
443	572	824
449	574	881
455	576	939
433	623	177
433	623	192
434	623	216
435	623	250
436	624	291
437	624	337
439	624	387
441	625	438
443	626	492
446	627	546
449	628	601
453	629	657
457	630	713
462	631	770
467	633	827
472	634	884
478	636	941
461	685	197
461	685	211
462	685	233
462	685	264
463	685	303
464	686	348
466	686	395
468	687	446
470	687	498
473	688	552
476	689	606
479	690	662
483	691	717
488	692	774
492	694	830
497	695	887
503	697	944
490	747	218
490	747	230
490	747	250
491	747	279
492	747	316
493	748	359
494	748	405
496	749	454
498	749	505
501	750	558
504	751	612
507	751	667
511	752	722
515	753	778
519	755	834
524	756	890
529	757	947
520	809	239
520	809	250
520	809	268
521	809	295
522	809	330
523	810	371
524	810	415
526	810	463
528	811	513
530	811	565
533	812	618
536	813	672
539	814	727
543	815	782
547	816	838
551	817	894
556	818	951
550	871	259
550	871	269
551	871	286
551	871	312
552	871	345
553	872	383
554	872	427
556	872	473
558	873	522
560	873	573
562	874	625
565	875	678
568	875	732
572	876	787
576	877	843
580	878	898
584	880	954
582	933	280
582	933	289
582	933	305
583	933	329
